FPR,TPR
0.0,0.0
0.0,0.007662835249042145
0.0,0.022988505747126436
0.0,0.034482758620689655
0.0,0.07279693486590039
0.0,0.10727969348659004
0.0,0.1111111111111111
0.0,0.13793103448275862
0.0,0.17624521072796934
0.00625,0.1839080459770115
0.0125,0.2260536398467433
0.01875,0.24521072796934865
0.01875,0.2720306513409962
0.01875,0.28735632183908044
0.025,0.30268199233716475
0.025,0.32950191570881227
0.025,0.3524904214559387
0.025,0.3716475095785441
0.025,0.3946360153256705
0.025,0.40229885057471265
0.025,0.421455938697318
0.025,0.42911877394636017
0.025,0.44061302681992337
0.025,0.4444444444444444
0.025,0.45977011494252873
0.0375,0.4904214559386973
0.04375,0.5019157088122606
0.04375,0.5095785440613027
0.04375,0.5134099616858238
0.05,0.5325670498084292
0.05,0.5440613026819924
0.05,0.5670498084291188
0.05,0.5708812260536399
0.05,0.5862068965517241
0.05,0.5938697318007663
0.05,0.5977011494252874
0.05625,0.6015325670498084
0.05625,0.6091954022988506
0.05625,0.6245210727969349
0.05625,0.6475095785440613
0.05625,0.6513409961685823
0.05625,0.6666666666666666
0.05625,0.6896551724137931
0.05625,0.7049808429118773
0.05625,0.7088122605363985
0.05625,0.7164750957854407
0.05625,0.7279693486590039
0.05625,0.7318007662835249
0.05625,0.7432950191570882
0.05625,0.7471264367816092
0.05625,0.7586206896551724
0.05625,0.7662835249042146
0.05625,0.7739463601532567
0.05625,0.7854406130268199
0.05625,0.789272030651341
0.05625,0.8007662835249042
0.05625,0.8045977011494253
0.05625,0.8122605363984674
0.05625,0.8352490421455939
0.05625,0.8582375478927203
0.05625,0.8659003831417624
0.05625,0.8735632183908046
0.05625,0.8850574712643678
0.0625,0.8850574712643678
0.0625,0.9003831417624522
0.075,0.9003831417624522
0.075,0.9080459770114943
0.075,0.9118773946360154
0.08125,0.9157088122605364
0.08125,0.9195402298850575
0.0875,0.9195402298850575
0.0875,0.9233716475095786
0.1,0.9233716475095786
0.1,0.9272030651340997
0.1,0.9348659003831418
0.1125,0.9386973180076629
0.1125,0.9425287356321839
0.11875,0.9425287356321839
0.11875,0.9501915708812261
0.11875,0.9578544061302682
0.11875,0.9693486590038314
0.1375,0.9693486590038314
0.1375,0.9731800766283525
0.15,0.9731800766283525
0.15,0.9770114942528736
0.15625,0.9770114942528736
0.15625,0.9885057471264368
0.16875,0.9885057471264368
0.18125,0.9885057471264368
0.2,0.9885057471264368
0.21875,0.9885057471264368
0.23125,0.9885057471264368
0.25625,0.9885057471264368
0.26875,0.9885057471264368
0.29375,0.9885057471264368
0.30625,0.9885057471264368
0.3375,0.9885057471264368
0.35,0.9885057471264368
0.35,0.9923371647509579
0.36875,0.9923371647509579
0.375,0.9923371647509579
0.39375,0.9923371647509579
0.43125,0.9923371647509579
0.4375,0.9961685823754789
0.45,0.9961685823754789
0.46875,0.9961685823754789
0.49375,0.9961685823754789
0.50625,0.9961685823754789
0.51875,0.9961685823754789
0.525,0.9961685823754789
0.54375,0.9961685823754789
0.58125,0.9961685823754789
0.5875,0.9961685823754789
0.63125,0.9961685823754789
0.64375,0.9961685823754789
0.6625,0.9961685823754789
0.66875,0.9961685823754789
0.68125,0.9961685823754789
0.69375,1.0
0.7375,1.0
0.75625,1.0
0.78125,1.0
0.7875,1.0
0.8125,1.0
0.825,1.0
0.83125,1.0
0.84375,1.0
0.8625,1.0
0.9,1.0
0.925,1.0
0.94375,1.0
0.95625,1.0
0.96875,1.0
0.99375,1.0
1.0,1.0
