Metric,XGBoost (HOG+PCA),CNN (MobileNetV2)
Accuracy,0.9100294985250738,0.9734513274336283
ROC AUC,0.97668885945343,0.9947190462911322
Precision,0.9522184300341296,0.9842767295597484
Recall,0.8558282208588958,0.9601226993865031
F1 Score,0.901453957996769,0.9720496894409938
