FPR,TPR
0.0,0.0
0.0,0.003067484662576687
0.0,0.012269938650306749
0.0,0.018404907975460124
0.0,0.027607361963190184
0.0,0.03374233128834356
0.0,0.05214723926380368
0.0,0.05828220858895705
0.0,0.06748466257668712
0.0,0.09202453987730061
0.0,0.11042944785276074
0.0,0.1196319018404908
0.0,0.13190184049079753
0.0,0.15337423312883436
0.0,0.1687116564417178
0.0,0.21779141104294478
0.0,0.254601226993865
0.0,0.3159509202453988
0.0,0.3312883435582822
0.0,0.36809815950920244
0.0,0.39263803680981596
0.0,0.4263803680981595
0.002840909090909091,0.4447852760736196
0.002840909090909091,0.48773006134969327
0.002840909090909091,0.5153374233128835
0.002840909090909091,0.5306748466257669
0.002840909090909091,0.5674846625766872
0.002840909090909091,0.598159509202454
0.005681818181818182,0.6226993865030674
0.005681818181818182,0.656441717791411
0.005681818181818182,0.6717791411042945
0.005681818181818182,0.6932515337423313
0.008522727272727272,0.7177914110429447
0.011363636363636364,0.7300613496932515
0.011363636363636364,0.7484662576687117
0.011363636363636364,0.7515337423312883
0.014204545454545454,0.7822085889570553
0.017045454545454544,0.803680981595092
0.022727272727272728,0.8190184049079755
0.028409090909090908,0.843558282208589
0.036931818181818184,0.8558282208588958
0.048295454545454544,0.8803680981595092
0.05397727272727273,0.8834355828220859
0.06534090909090909,0.901840490797546
0.06818181818181818,0.911042944785276
0.09090909090909091,0.9263803680981595
0.10511363636363637,0.9355828220858896
0.11647727272727272,0.9386503067484663
0.13352272727272727,0.941717791411043
0.15625,0.9447852760736196
0.17045454545454544,0.9478527607361963
0.1875,0.9539877300613497
0.19886363636363635,0.9601226993865031
0.2159090909090909,0.9631901840490797
0.24147727272727273,0.9723926380368099
0.2840909090909091,0.9754601226993865
0.29545454545454547,0.9754601226993865
0.32386363636363635,0.9785276073619632
0.33238636363636365,0.9785276073619632
0.35511363636363635,0.9785276073619632
0.375,0.9785276073619632
0.3806818181818182,0.9785276073619632
0.4034090909090909,0.9846625766871165
0.4403409090909091,0.9877300613496932
0.4744318181818182,0.9877300613496932
0.4943181818181818,0.9938650306748467
0.5113636363636364,0.9938650306748467
0.5227272727272727,0.9938650306748467
0.5426136363636364,0.9938650306748467
0.5710227272727273,0.9938650306748467
0.5994318181818182,0.9969325153374233
0.6306818181818182,0.9969325153374233
0.6505681818181818,1.0
0.6676136363636364,1.0
0.6789772727272727,1.0
0.6931818181818182,1.0
0.7130681818181818,1.0
0.7386363636363636,1.0
0.7528409090909091,1.0
0.7755681818181818,1.0
0.7926136363636364,1.0
0.7982954545454546,1.0
0.8096590909090909,1.0
0.8238636363636364,1.0
0.8352272727272727,1.0
0.84375,1.0
0.8494318181818182,1.0
0.8579545454545454,1.0
0.8721590909090909,1.0
0.8778409090909091,1.0
0.8948863636363636,1.0
0.90625,1.0
0.9090909090909091,1.0
0.9147727272727273,1.0
0.9232954545454546,1.0
0.9318181818181818,1.0
0.9375,1.0
0.9460227272727273,1.0
0.9488636363636364,1.0
0.9630681818181818,1.0
0.9659090909090909,1.0
0.9715909090909091,1.0
0.9801136363636364,1.0
0.9829545454545454,1.0
0.9886363636363636,1.0
0.9971590909090909,1.0
1.0,1.0
